year,make,model,trim,body,transmission,vin,state,condition,odometer,color,mmr,sellingprice
2015,Ford,Mustang,GT,coupe,automatic,1fa6p8cfxf5323400,tx,48,14647,—,29300,28600
2015,Ford,Fusion Hybrid,SE,sedan,automatic,3fa6p0luxfr158154,il,19,2734,gray,18700,15900
2015,Ford,F-250 Super Duty,XLT,supercab,automatic,1ft7x2b69feb95261,ga,43,18612,blue,31700,31000
2015,Ford,Taurus,SHO,sedan,automatic,1fahp2kt1fg121823,fl,27,4890,red,30900,24200
2015,Ford,Mustang,EcoBoost,coupe,automatic,1fa6p8th9f5330646,fl,42,15155,orange,25500,25800
2015,Ford,F-250 Super Duty,Lariat,crew cab,automatic,1ft7w2bt9fec22578,tx,39,10452,black,50100,52000
2015,Ford,F-250 Super Duty,Lariat,crew cab,automatic,1ft7w2btxfea08425,mo,5,4128,red,52000,52100
2015,Ford,Fusion,Titanium,sedan,automatic,3fa6p0k96fr238418,fl,25,4257,silver,21400,18700
2015,Ford,Fusion,SE,sedan,automatic,3fa6p0h71fr199761,fl,44,6126,—,17150,16500
2015,Ford,Fusion,S,sedan,automatic,1fa6p0g72f5119095,fl,49,7865,white,15500,14500
2015,Ford,F-250 Super Duty,Lariat,crew cab,automatic,1ft7w2btxfea88163,fl,49,15964,black,48500,48250
2015,Ford,Mustang,V6,coupe,manual,1fa6p8am5f5327128,ga,47,12324,white,22800,23500
2015,Ford,F-150,Platinum,SuperCrew,automatic,1ftew1eg4ffa98326,mi,5,271,black,51500,54200
2015,Ford,Fiesta,S,sedan,manual,3fadp4aj4fm129382,mo,5,15060,silver,9375,9300
2015,GMC,Yukon,SLT,suv,automatic,1gks2bkc8fr252027,nj,19,12347,black,51700,42750
2015,Honda,Accord,EX-L,sedan,automatic,1hgcr2f87fa030029,nj,43,2602,black,23000,22800
2015,GMC,Terrain,SLT-1,suv,automatic,2gkflxe38f6254122,wa,5,810,gold,28800,31100
2015,GMC,Terrain,SLE-2,suv,automatic,2gkalrek5f6112260,fl,25,12288,beige,20600,18000
2015,Ford,Taurus,SHO,sedan,automatic,1fahp2kt4fg123243,il,37,23497,silver,29100,29000
2015,Hyundai,Elantra,SE,sedan,automatic,kmhdh4ae5fu236085,pa,37,4336,black,13250,13600
2015,Honda,Accord,LX,sedan,automatic,1hgcr2f32fa029939,tx,5,2119,gold,19350,19800
2015,Hyundai,Accent,GLS,sedan,automatic,kmhct4aexfu819634,ut,3,14299,red,10550,6500
2015,Honda,Fit,EX,hatchback,manual,3hggk5g81fm720884,nv,49,9883,gray,15100,14000
2015,Honda,Civic,LX,sedan,automatic,19xfb2f5xfe050987,ga,5,407,white,15850,16200
2015,Hyundai,Veloster,Base,hatchback,automatic,kmhtc6adxfu227203,il,44,20772,silver,15000,14900
2015,Hyundai,Genesis,3.8,sedan,automatic,kmhgn4je7fu039618,ga,47,8670,black,37200,35100
2015,Hyundai,Sonata,SE,sedan,automatic,5npe24af5fh120480,tn,49,18701,—,14750,15100
2015,Hyundai,Elantra,SE,sedan,automatic,5npdh4ae1fh580155,ga,38,36674,red,12000,11400
2015,Infiniti,QX60,Base,suv,automatic,5n1al0mm1fc505704,ca,5,7303,white,39100,44000
2015,Hyundai,Elantra,SE,sedan,automatic,5npdh4ae3fh576706,md,3,17146,silver,12850,10400
2015,Hyundai,Santa Fe Sport,Sport,suv,automatic,5xyztdlb1fg283353,md,26,3615,silver,21800,18500
2015,Jeep,Cherokee,Latitude,suv,automatic,1c4pjmcb2fw540326,mn,4,13128,gray,22700,19900
2015,Hyundai,Elantra,SE,sedan,automatic,5npdh4ae4fh555234,fl,2,19824,white,12700,10900
2015,Hyundai,Sonata,SE,sedan,automatic,5npe24af7fh048357,fl,47,5200,silver,15400,16000
2015,Hyundai,Elantra,SE,sedan,automatic,5npdh4ae9fh635922,in,2,11144,silver,13050,7300
2015,Infiniti,QX80,Base,suv,automatic,jn8az2nc0f9370057,ca,5,12213,gray,64000,64500
2015,Jeep,Cherokee,Trailhawk,suv,automatic,1c4pjmbs0fw521050,tx,45,12598,green,28900,28700
2015,Jeep,Grand Cherokee,Limited,suv,automatic,1c4rjfbg4fc802558,nj,35,5573,gray,35400,32000
2015,Jeep,Cherokee,Sport,suv,automatic,1c4pjlab5fw506961,fl,49,7791,green,18000,17400
2015,Jeep,Compass,Sport,suv,automatic,1c4njcba4fd156215,fl,4,6471,red,16100,14400
2015,Jeep,Grand Cherokee,Limited,suv,automatic,1c4rjfbg1fc608313,ny,49,7479,white,35200,34800
2015,Jeep,Cherokee,Trailhawk,suv,automatic,1c4pjmbs9fw635970,mn,5,1865,orange,30400,32500
2015,Jeep,Compass,Altitude Edition,suv,automatic,1c4njdbb6fd125420,mn,4,11601,red,17950,18200
2015,Jeep,Cherokee,Trailhawk,suv,automatic,1c4pjmbs8fw527128,nc,5,7252,gray,29600,29600
2015,Jeep,Patriot,Sport,suv,automatic,1c4njrbb9fd123903,mn,4,12221,gray,17250,17100
2015,Jeep,Compass,Latitude,suv,automatic,1c4njdeb7fd154730,ga,5,16890,gray,18100,18200
2015,Jeep,Patriot,Sport,suv,automatic,1c4njpbb5fd203946,tx,41,12172,red,15650,16400
2015,Jeep,Patriot,Latitude,suv,automatic,1c4njrfb5fd249010,md,49,9335,gray,18450,18000
2015,Jeep,Patriot,Sport,suv,manual,1c4njpba3fd263862,nc,49,6621,white,15700,14700
2015,Jeep,Grand Cherokee,Limited,suv,automatic,1c4rjfbg6fc711808,co,49,12153,white,34600,34600
2015,Jeep,Patriot,High Altitude Edition,suv,automatic,1c4njrfbxfd239864,md,43,9279,white,18450,18000
2015,Jeep,Wrangler,Unlimited Sahara,suv,automatic,1c4bjweg9fl589698,tx,49,18425,gray,32400,36600
2015,Kia,Optima,LX,sedan,automatic,5xxgm4a72fg384988,fl,49,2604,white,15850,17000
2015,Jeep,Wrangler,Sport,suv,manual,1c4ajwagxfl587816,oh,49,1947,black,26200,25400
2015,Kia,Forte,LX,sedan,automatic,knafk4a69f5269623,fl,41,25560,black,12300,11200
2015,Jeep,Wrangler,Unlimited Sahara,suv,automatic,1c4bjweg9fl581116,ms,44,431,yellow,34500,40000
2015,Jeep,Wrangler,Unlimited Sahara,suv,automatic,1c4bjweg7fl589697,tx,19,18447,white,32400,35600
2015,Jeep,Wrangler,Sport,suv,automatic,1c4ajwag8fl555771,tn,42,7788,silver,25000,27200
